model,cv_acc,note
blend_optuna,0.8705148205928237,blend
et,0.8653146125845034,base
svm,0.8476339053562143,base
lgb,0.8455538221528861,base
xgb,0.8424336973478939,base
lr,0.7743109724388976,base
